m/z,Average,Tryp R05,IMS199_Chemo_Left_4K,IMS199_Control_Right_Bottom_4K,IMS199_Control_Right_Top_4K
1408.1998291,1.42533,1.94302,1.40572,1.43401,1.32171
1408.895874,1.30846,1.77411,1.40467,1.2087,1.10403
1409.5919189,1.32503,1.82371,1.22615,1.36256,1.31967
1410.2879639,1.44171,1.71118,1.41247,1.47501,1.37839
1410.9840088,1.36538,1.68831,1.47729,1.32512,1.14545
1411.6799316,1.28742,1.66272,1.22587,1.30086,1.27397
1412.3759766,1.42956,1.63471,1.37093,1.52408,1.41697
1413.0720215,1.54536,1.57243,1.6679,1.56897,1.35796
1413.7680664,1.3599,1.61631,1.33858,1.31589,1.38059
1414.4641113,1.50499,1.59234,1.41802,1.64843,1.54405
1415.1601563,1.48054,1.542,1.53936,1.53879,1.36579
1415.8562012,1.30719,1.48956,1.38239,1.24792,1.1966
1416.5522461,1.33719,1.44205,1.26928,1.43189,1.34499
1417.248291,1.43954,1.44572,1.44142,1.51353,1.3955
1417.9443359,1.36295,1.64817,1.41532,1.34206,1.22822
1418.6402588,1.29683,1.75037,1.23074,1.30613,1.26751
1419.3363037,1.38639,1.77851,1.32847,1.44139,1.33925
1420.0323486,1.3488,1.70259,1.39988,1.32372,1.18762
1420.7283936,1.25133,1.76049,1.24403,1.20626,1.17336
1421.4244385,1.3439,1.70285,1.2579,1.42996,1.32237
1422.1204834,1.3983,1.7471,1.44054,1.39541,1.26468
1422.8165283,1.33022,1.68259,1.40175,1.26218,1.20215
1423.5125732,1.40764,1.7,1.32105,1.49402,1.42284
1424.2086182,1.5518,1.75086,1.5571,1.62976,1.47558
1424.9046631,1.36596,1.68182,1.45949,1.2969,1.20117
1425.6005859,1.384,1.75581,1.28602,1.44347,1.40294
1426.2966309,1.53045,1.78397,1.50041,1.56983,1.49559
1426.9926758,1.56136,1.66397,1.69101,1.52827,1.38571
1427.6887207,1.46763,1.56705,1.4624,1.47351,1.44868
1428.3847656,1.66049,1.55623,1.53352,1.86407,1.75599
1429.0808105,1.55821,1.51929,1.63198,1.63236,1.42424
1429.7768555,1.32171,1.52063,1.35884,1.2719,1.25423
1430.4729004,1.40971,1.49503,1.32516,1.52555,1.4446
1431.1689453,1.73526,1.5032,1.85401,1.85125,1.57478
1431.8648682,1.42397,1.51615,1.51856,1.34823,1.33988
1432.5609131,1.57662,1.43053,1.45882,1.79468,1.65908
1433.256958,1.56797,1.42397,1.61954,1.64879,1.49934
1433.9530029,1.40836,1.44128,1.535,1.33959,1.26117
1434.6490479,1.42723,1.53296,1.32517,1.56242,1.49658
1435.3450928,1.48032,1.46269,1.44633,1.58111,1.46923
1436.0411377,1.4031,1.44919,1.49335,1.38057,1.27568
1436.7371826,1.27565,1.42153,1.28735,1.26546,1.24299
1437.4332275,1.34957,1.3652,1.28397,1.4312,1.38907
1438.1292725,1.3647,1.33255,1.43018,1.39291,1.2638
1438.8251953,1.26664,1.38498,1.36638,1.18997,1.15487
1439.5212402,1.3981,1.3457,1.30335,1.54774,1.45385
1440.2172852,1.55586,1.52001,1.60353,1.61361,1.46563
1440.9133301,1.43588,1.54794,1.60649,1.34475,1.22328
1441.609375,1.47261,1.60934,1.34368,1.61043,1.56611
1442.3054199,1.66098,1.49958,1.63367,1.8136,1.66293
1443.0014648,1.42677,1.43387,1.58662,1.39285,1.22221
1443.6975098,1.57487,1.37203,1.81976,1.40312,1.39519
1444.3935547,1.9027,1.37571,1.67435,1.97581,2.21495
1445.0894775,2.00348,1.36837,2.22205,1.86491,1.86036
1445.7855225,1.47854,1.40372,1.61193,1.37368,1.38572
1446.4815674,1.61978,1.40092,1.47987,1.78255,1.74947
1447.1776123,1.59525,1.36413,1.66343,1.66514,1.51898
1447.8736572,1.42542,1.28563,1.61867,1.32894,1.23834
1448.5697021,1.58937,1.30765,1.39968,1.87665,1.77156
1449.2657471,1.56849,1.29549,1.5723,1.71991,1.55355
1449.961792,1.3149,1.21074,1.43218,1.2801,1.18528
1450.6578369,1.3004,1.24998,1.23198,1.41246,1.35667
1451.3538818,1.39769,1.28053,1.38287,1.51074,1.3899
1452.0498047,1.79756,1.19152,2.04214,1.60333,1.60803
1452.7458496,1.47627,1.1537,1.71638,1.31262,1.30329
1453.4418945,1.6269,1.25123,1.47151,1.71286,1.796
1454.1379395,2.19147,1.2187,2.56684,1.76268,2.08829
1454.8339844,1.61073,1.16852,2.01424,1.31752,1.32749
1455.5300293,1.74001,1.237,1.4786,1.82827,2.15529
1456.2260742,1.69479,1.21461,1.76596,1.70583,1.70247
1456.9221191,1.37822,1.24717,1.52673,1.31915,1.23513
1457.6181641,1.35383,1.26193,1.24551,1.47663,1.44828
1458.3140869,1.47546,1.24642,1.47348,1.58902,1.45676
1459.0101318,1.35879,1.23547,1.47729,1.36237,1.21588
1459.7061768,1.26849,1.18224,1.24721,1.32005,1.29469
1460.4022217,1.36563,1.16405,1.34879,1.48318,1.3608
1461.0982666,1.33228,1.14583,1.412,1.38485,1.22412
1461.7943115,1.29699,1.19971,1.43072,1.21605,1.18502
1462.4903564,1.77992,1.19678,1.61425,2.1808,1.95221
1463.1864014,1.68355,1.17534,1.76467,1.8873,1.59103
1463.8824463,1.39062,1.18511,1.50448,1.32852,1.32994
1464.5784912,1.48209,1.15607,1.3331,1.73308,1.63215
1465.2744141,1.48086,1.10276,1.52469,1.58899,1.44188
1465.970459,1.30647,1.12739,1.41533,1.29012,1.20173
1466.6665039,1.2996,1.15494,1.29351,1.36409,1.31585
1467.3625488,1.66394,1.0644,1.73344,1.79085,1.64212
1468.0585938,1.72415,1.09263,1.9549,1.77563,1.54161
1468.7546387,1.47644,1.06122,1.58267,1.47315,1.44912
1469.4506836,1.63078,1.0702,1.55025,1.84623,1.77413
1470.1467285,1.66148,1.08831,1.83508,1.65867,1.55017
1470.8427734,1.37475,1.07466,1.51883,1.32756,1.28907
1471.5388184,1.42738,1.09954,1.32824,1.58046,1.55946
1472.2347412,1.52089,1.13593,1.59825,1.60243,1.48226
1472.9307861,1.32858,1.02161,1.51381,1.26825,1.1834
1473.6268311,1.36951,1.04606,1.30545,1.53671,1.45064
1474.322876,1.47571,1.03889,1.50538,1.59599,1.4764
1475.0189209,1.33564,1.07228,1.48736,1.33919,1.19179
1475.7149658,1.2936,1.00808,1.29186,1.37295,1.31944
1476.4110107,2.05402,1.36677,1.9678,2.41741,2.16153
1477.1070557,1.71878,1.11052,1.99129,1.79844,1.43151
1477.8031006,1.57353,1.31759,1.39095,1.72708,1.83191
1478.4990234,1.58111,1.30469,1.47502,1.81769,1.69937
1479.1950684,1.50104,1.12808,1.57386,1.60418,1.43373
1479.8911133,1.32148,1.13011,1.43103,1.29394,1.24035
1480.5871582,1.38314,1.1731,1.30649,1.53609,1.46291
1481.2832031,1.50245,1.06256,1.56189,1.59894,1.47565
1481.979248,1.92211,1.0878,2.75882,1.41588,1.27174
1482.675293,2.33104,1.29467,1.8847,3.09376,2.85653
1483.3713379,2.78961,1.20548,2.93607,3.21351,2.83229
1484.0673828,1.76956,1.10963,2.16165,1.73653,1.40687
1484.7634277,1.60525,1.13846,1.38477,1.89129,1.92373
1485.4593506,1.55205,1.02554,1.53788,1.75942,1.59501
1486.1553955,1.39181,1.06876,1.48295,1.45722,1.31961
1486.8514404,1.25712,1.00561,1.33021,1.25252,1.21905
1487.5474854,1.31823,1.02113,1.27009,1.44432,1.39016
1488.2435303,1.45351,1.04533,1.54427,1.53094,1.39595
1488.9395752,1.3211,0.977741,1.45882,1.29377,1.22859
1489.6356201,1.34551,1.01859,1.31363,1.47201,1.40455
1490.331665,1.95844,0.997209,1.92611,2.31007,2.07554
1491.02771,1.5286,0.945124,1.79197,1.47093,1.34085
1491.7236328,1.58797,0.989442,1.37882,1.9491,1.86174
1492.4196777,1.60679,0.991908,1.53768,1.86201,1.72595
1493.1157227,1.41779,0.963253,1.56118,1.45793,1.30715
1493.8117676,1.30324,0.948197,1.32946,1.35231,1.3406
1494.5078125,1.3486,0.98922,1.29235,1.51701,1.42761
1495.2038574,1.38938,0.975249,1.47567,1.48104,1.32735
1495.8999023,1.26745,0.970146,1.40976,1.2463,1.16283
1496.5959473,1.36189,0.960753,1.3048,1.54086,1.44389
1497.2919922,1.49513,0.912662,1.58402,1.59948,1.45571
1497.9880371,1.28546,0.900882,1.45366,1.24666,1.15965
1498.68396,1.30561,0.946419,1.2512,1.45481,1.38622
1499.3800049,1.35929,0.959147,1.36348,1.4931,1.37251
1500.0760498,1.36699,0.926412,1.54006,1.38737,1.20977
1500.7720947,1.27143,0.967646,1.27834,1.30548,1.32623
1501.4681396,1.38152,0.961194,1.35947,1.50505,1.44173
1502.1641846,1.34707,0.924194,1.44156,1.41322,1.27358
1502.8602295,1.2088,0.972711,1.27755,1.19641,1.18531
1503.5562744,1.26266,0.976706,1.22122,1.38455,1.32345
1504.2523193,1.50591,0.961109,1.58933,1.66876,1.43523
1504.9482422,1.37602,0.956227,1.52865,1.32066,1.30703
1505.6442871,1.45674,0.951483,1.33894,1.71203,1.60786
1506.340332,1.9476,0.940124,1.97963,2.20813,2.02851
1507.036377,1.52582,0.926396,1.83696,1.46296,1.27515
1507.7324219,1.48724,0.923377,1.296,1.73357,1.77646
1508.4284668,1.50384,1.00897,1.49368,1.65862,1.57025
1509.1245117,1.38604,0.942861,1.53379,1.45029,1.25531
1509.8205566,1.27254,0.985217,1.28347,1.32152,1.31743
1510.5166016,1.33645,0.909996,1.29831,1.49463,1.39373
1511.2126465,1.33225,0.936496,1.41419,1.40757,1.27824
1511.9085693,1.20726,0.95463,1.30737,1.18482,1.15189
1512.6046143,1.28605,0.918798,1.24502,1.4266,1.34746
1513.3006592,1.48552,0.919832,1.53246,1.64573,1.46914
1513.9967041,1.3474,0.951349,1.57028,1.3083,1.16016
1514.692749,1.34719,0.998629,1.27262,1.4956,1.46073
1515.3887939,1.42516,1.0074,1.44513,1.53135,1.44001
1516.0848389,1.34296,0.940634,1.46891,1.35212,1.247
1516.7808838,1.22464,1.00373,1.24905,1.2473,1.23901
1517.4769287,1.30977,0.957457,1.28428,1.42869,1.36132
1518.1729736,1.32089,0.965281,1.41007,1.37649,1.24262
1518.8688965,1.20256,0.964484,1.28667,1.1852,1.16573
1519.5649414,1.26767,0.94537,1.22163,1.38981,1.33305
1520.2609863,1.35803,0.982685,1.40524,1.44844,1.32695
1520.9570313,1.24052,1.01145,1.3853,1.19829,1.11915
1521.6530762,1.27826,1.06455,1.18415,1.43396,1.38887
1522.3491211,1.33661,0.995016,1.35015,1.4371,1.34182
1523.045166,1.37812,0.956393,1.52339,1.34549,1.23798
1523.7412109,1.31629,0.933416,1.40612,1.2853,1.28387
1524.4372559,1.71288,0.944986,1.67753,1.95557,1.77869
1525.1331787,1.58016,0.97548,1.79011,1.63979,1.395
1525.8292236,1.28323,0.909151,1.34861,1.27242,1.29436
1526.5252686,1.45285,0.893142,1.40411,1.65881,1.531
1527.2213135,1.39041,0.882492,1.49453,1.4766,1.31553
1527.9173584,1.23286,0.934298,1.33346,1.21413,1.18093
